Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spent,Age,Seniority,Partner,Num_Childer,Num_Childen,Num_Children,Family_Size,Is_Parent
Graduate,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,35,553,Partner,1,1,1,3,1
Postgraduate,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,65,713,Partner,1,1,1,3,1
Postgraduate,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,60,35,Partner,1,1,1,3,1
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,63,628,Partner,1,1,1,3,1
Graduate,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,45,673,Alone,0,0,0,1,0
Graduate,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,38,558,Partner,2,2,2,4,1
Graduate,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,25,554,Partner,1,1,1,3,1
Postgraduate,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,49,379,Partner,0,0,0,2,0
Postgraduate,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,25,198,Alone,0,0,0,1,0
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,51,396,Partner,0,0,0,2,0
Graduate,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,44,787,Partner,1,1,1,3,1
Postgraduate,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,62,768,Alone,2,2,2,3,1
Postgraduate,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,68,654,Partner,0,0,0,2,0
Postgraduate,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,63,464,Alone,2,2,2,3,1
Postgraduate,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,44,340,Partner,1,1,1,3,1
Undergraduate,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,38,665,Partner,1,1,1,3,1
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,41,34,Alone,1,1,1,2,1
Postgraduate,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,71,703,Alone,0,0,0,1,0
Graduate,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,34,586,Partner,1,1,1,3,1
Postgraduate,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,29,368,Partner,1,1,1,3,1
Graduate,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,57,712,Partner,1,1,1,3,1
Postgraduate,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,39,664,Partner,1,1,1,3,1
Graduate,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,38,161,Alone,0,0,0,1,0
Undergraduate,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,18,816,Partner,0,0,0,2,0
Graduate,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,46,561,Partner,1,1,1,3,1
Postgraduate,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,60,847,Partner,2,2,2,4,1
Graduate,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,57,1,Alone,1,1,1,2,1
Postgraduate,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,50,758,Partner,0,0,0,2,0
Graduate,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,37,673,Alone,1,1,1,2,1
Graduate,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,37,153,Alone,0,0,0,1,0
Graduate,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,36,365,Partner,2,2,2,4,1
Postgraduate,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,59,747,Partner,0,0,0,2,0
Graduate,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,48,670,Alone,0,0,0,1,0
Graduate,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,26,222,Alone,1,1,1,2,1
Postgraduate,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,46,278,Partner,1,1,1,3,1
Postgraduate,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,32,608,Alone,0,0,0,1,0
Graduate,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,39,880,Partner,2,2,2,4,1
Graduate,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,62,656,Alone,1,1,1,2,1
Postgraduate,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,63,395,Alone,1,1,1,2,1
Graduate,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,66,542,Partner,0,0,0,2,0
Graduate,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,43,564,Partner,1,1,1,3,1
Graduate,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,47,31,Partner,2,2,2,4,1
Undergraduate,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,35,262,Alone,1,1,1,2,1
Graduate,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,56,435,Partner,1,1,1,3,1
Graduate,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,44,489,Partner,3,3,3,5,1
Postgraduate,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,60,757,Partner,0,0,0,2,0
Graduate,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,55,629,Partner,1,1,1,3,1
Postgraduate,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,39,581,Partner,2,2,2,4,1
Graduate,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,62,220,Partner,0,0,0,2,0
Graduate,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,37,717,Alone,1,1,1,2,1
Postgraduate,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,42,831,Partner,0,0,0,2,0
Graduate,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,38,726,Alone,0,0,0,1,0
Undergraduate,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,38,606,Partner,0,0,0,2,0
Graduate,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,49,673,Partner,0,0,0,2,0
Graduate,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,29,829,Alone,1,1,1,2,1
Graduate,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,45,531,Partner,1,1,1,3,1
Undergraduate,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,41,639,Partner,1,1,1,3,1
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,51,396,Partner,0,0,0,2,0
Graduate,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,27,284,Alone,0,0,0,1,0
Graduate,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,54,393,Partner,2,2,2,4,1
Postgraduate,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,44,508,Partner,2,2,2,4,1
Graduate,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,57,192,Alone,1,1,1,2,1
Graduate,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,41,1,Partner,0,0,0,2,0
Graduate,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,47,319,Partner,1,1,1,3,1
Postgraduate,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,42,258,Alone,1,1,1,2,1
Postgraduate,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,44,196,Partner,1,1,1,3,1
Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,31,198,Partner,1,1,1,3,1
Graduate,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,54,744,Alone,1,1,1,2,1
Graduate,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,42,397,Alone,2,2,2,3,1
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,63,693,Partner,0,0,0,2,0
Postgraduate,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,31,534,Partner,0,0,0,2,0
Undergraduate,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,54,501,Alone,1,1,1,2,1
Postgraduate,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,55,251,Alone,1,1,1,2,1
Graduate,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,35,595,Partner,1,1,1,3,1
Postgraduate,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,69,568,Partner,0,0,0,2,0
Graduate,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,55,123,Partner,0,0,0,2,0
Undergraduate,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,35,420,Partner,1,1,1,3,1
Graduate,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,50,438,Partner,2,2,2,4,1
Graduate,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,45,672,Partner,2,2,2,4,1
Graduate,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,36,717,Alone,1,1,1,2,1
Postgraduate,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,54,877,Partner,0,0,0,2,0
Graduate,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,35,663,Partner,1,1,1,3,1
Postgraduate,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,23,786,Alone,0,0,0,1,0
Postgraduate,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,51,164,Partner,1,1,1,3,1
Graduate,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,23,673,Alone,0,0,0,1,0
Postgraduate,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,34,724,Partner,1,1,1,3,1
Graduate,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,52,423,Alone,2,2,2,3,1
Graduate,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,44,316,Partner,0,0,0,2,0
Undergraduate,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,36,655,Partner,1,1,1,3,1
Undergraduate,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,47,394,Partner,2,2,2,4,1
Graduate,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,45,387,Partner,1,1,1,3,1
Postgraduate,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,61,534,Partner,1,1,1,3,1
Postgraduate,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,47,285,Alone,1,1,1,2,1
Postgraduate,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,29,606,Partner,2,2,2,4,1
Graduate,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,38,593,Alone,1,1,1,2,1
Graduate,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,31,368,Alone,0,0,0,1,0
Undergraduate,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,49,656,Partner,0,0,0,2,0
Graduate,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,30,594,Alone,0,0,0,1,0
Postgraduate,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,61,122,Partner,2,2,2,4,1
Postgraduate,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,58,62,Partner,2,2,2,4,1
Graduate,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,62,432,Partner,1,1,1,3,1
Postgraduate,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,56,429,Alone,2,2,2,3,1
Graduate,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,45,65,Partner,0,0,0,2,0
Postgraduate,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,50,479,Partner,2,2,2,4,1
Postgraduate,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,47,629,Partner,0,0,0,2,0
Undergraduate,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,38,850,Alone,1,1,1,2,1
Postgraduate,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,55,517,Partner,3,3,3,5,1
Postgraduate,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,41,201,Alone,2,2,2,3,1
Postgraduate,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,49,496,Alone,2,2,2,3,1
Postgraduate,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,22,778,Alone,0,0,0,1,0
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,38,387,Partner,1,1,1,3,1
Graduate,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,52,596,Partner,0,0,0,2,0
Postgraduate,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,40,465,Alone,1,1,1,2,1
Graduate,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,26,627,Partner,1,1,1,3,1
Graduate,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,38,779,Partner,2,2,2,4,1
Graduate,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,39,769,Partner,1,1,1,3,1
Graduate,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,33,465,Partner,1,1,1,3,1
Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,41,836,Partner,3,3,3,5,1
Postgraduate,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,48,168,Partner,0,0,0,2,0
Postgraduate,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,61,226,Partner,2,2,2,4,1
Graduate,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,45,156,Partner,1,1,1,3,1
Undergraduate,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,42,722,Partner,1,1,1,3,1
Graduate,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,26,1,Alone,1,1,1,2,1
Postgraduate,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,62,817,Partner,1,1,1,3,1
Graduate,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,65,655,Partner,0,0,0,2,0
Graduate,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,56,486,Alone,1,1,1,2,1
Graduate,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,36,362,Alone,3,3,3,4,1
Graduate,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,37,415,Partner,1,1,1,3,1
Graduate,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,59,473,Alone,0,0,0,1,0
Postgraduate,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,56,698,Alone,3,3,3,4,1
Postgraduate,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,69,939,Partner,0,0,0,2,0
Graduate,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,30,219,Partner,1,1,1,3,1
Postgraduate,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,39,700,Alone,0,0,0,1,0
Postgraduate,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1608,41,337,Partner,1,1,1,3,1
Graduate,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,48,388,Partner,3,3,3,5,1
Graduate,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,61,383,Alone,0,0,0,1,0
Graduate,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,55,465,Alone,0,0,0,1,0
Graduate,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,26,663,Alone,0,0,0,1,0
Graduate,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,57,284,Partner,2,2,2,4,1
Graduate,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,49,229,Partner,2,2,2,4,1
Graduate,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,32,511,Partner,1,1,1,3,1
Graduate,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,44,229,Partner,2,2,2,4,1
Postgraduate,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,55,310,Partner,2,2,2,4,1
Graduate,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,119,47,246,Alone,1,1,1,2,1
Postgraduate,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,39,727,Partner,1,1,1,3,1
Postgraduate,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,66,720,Partner,0,0,0,2,0
Postgraduate,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,44,197,Partner,2,2,2,4,1
Graduate,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,55,165,Partner,3,3,3,5,1
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,63,693,Partner,0,0,0,2,0
Postgraduate,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,38,31,Partner,1,1,1,3,1
Undergraduate,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,26,62,Partner,1,1,1,3,1
Postgraduate,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,68,434,Partner,0,0,0,2,0
Postgraduate,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,30,318,Partner,1,1,1,3,1
Undergraduate,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,53,174,Partner,0,0,0,2,0
Graduate,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,31,938,Partner,1,1,1,3,1
Postgraduate,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,44,125,Alone,1,1,1,2,1
Graduate,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,48,666,Partner,1,1,1,3,1
Graduate,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,38,627,Partner,0,0,0,2,0
Postgraduate,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,50,651,Partner,2,2,2,4,1
Undergraduate,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,80,36,818,Partner,1,1,1,3,1
Postgraduate,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,25,568,Partner,0,0,0,2,0
Undergraduate,36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,65,114,436,Alone,1,1,1,2,1
Graduate,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,26,555,Partner,1,1,1,3,1
Graduate,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,41,656,Partner,2,2,2,4,1
Graduate,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,37,342,Partner,2,2,2,4,1
